,Year,Defender,Opponent,Points_Against,Opponent_FG%
320,2013-14,Ramon Sessions,Giannis Antetokounmpo,11.0,0.5
321,2013-14,O.J. Mayo,Giannis Antetokounmpo,11.0,0.5
322,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,11.0,0.5
323,2013-14,Ekpe Udoh,Giannis Antetokounmpo,11.0,0.5
324,2013-14,Chris Wright,Giannis Antetokounmpo,11.0,0.5
325,2013-14,Harrison Barnes,Giannis Antetokounmpo,11.0,0.5
326,2013-14,David Lee,Giannis Antetokounmpo,11.0,0.5
327,2013-14,Andrew Bogut,Giannis Antetokounmpo,11.0,0.5
328,2013-14,Klay Thompson,Giannis Antetokounmpo,11.0,0.5
329,2013-14,Stephen Curry,Giannis Antetokounmpo,11.0,0.5
330,2013-14,Steve Blake,Giannis Antetokounmpo,11.0,0.5
331,2013-14,Draymond Green,Giannis Antetokounmpo,11.0,0.5
332,2013-14,Jordan Crawford,Giannis Antetokounmpo,11.0,0.5
333,2013-14,Marreese Speights,Giannis Antetokounmpo,11.0,0.5
334,2013-14,Ognjen Kuzmic,Giannis Antetokounmpo,11.0,0.5
335,2013-14,Jermaine O'Neal,Giannis Antetokounmpo,11.0,0.5
336,2013-14,Khris Middleton,Giannis Antetokounmpo,4.0,0.333
337,2013-14,Ersan Ilyasova,Giannis Antetokounmpo,4.0,0.333
338,2013-14,Zaza Pachulia,Giannis Antetokounmpo,4.0,0.333
339,2013-14,Nate Wolters,Giannis Antetokounmpo,4.0,0.333
340,2013-14,Brandon Knight,Giannis Antetokounmpo,4.0,0.333
341,2013-14,John Henson,Giannis Antetokounmpo,4.0,0.333
342,2013-14,Ramon Sessions,Giannis Antetokounmpo,4.0,0.333
343,2013-14,Jeff Adrien,Giannis Antetokounmpo,4.0,0.333
344,2013-14,O.J. Mayo,Giannis Antetokounmpo,4.0,0.333
345,2013-14,Miroslav Raduljica,Giannis Antetokounmpo,4.0,0.333
346,2013-14,Ekpe Udoh,Giannis Antetokounmpo,4.0,0.333
347,2013-14,Chris Wright,Giannis Antetokounmpo,4.0,0.333
348,2013-14,Nicolas Batum,Giannis Antetokounmpo,4.0,0.333
349,2013-14,Dorell Wright,Giannis Antetokounmpo,4.0,0.333
350,2013-14,Robin Lopez,Giannis Antetokounmpo,4.0,0.333
351,2013-14,Wesley Matthews,Giannis Antetokounmpo,4.0,0.333
352,2013-14,Damian Lillard,Giannis Antetokounmpo,4.0,0.333
353,2013-14,Mo Williams,Giannis Antetokounmpo,4.0,0.333
354,2013-14,Meyers Leonard,Giannis Antetokounmpo,4.0,0.333
355,2013-14,Thomas Robinson,Giannis Antetokounmpo,4.0,0.333
